哪吒之魔童降世,动画,"500,359",中国,2019-07-26
流浪地球,科幻,"468,150",中国,2019-02-05
复仇者联盟4：终局之战,动作,"424,922",美国,2019-04-24
我和我的祖国,剧情,"312,366",中国/中国香港,2019-09-30
中国机长,剧情,"290,354",中国,2019-09-30
疯狂的外星人,喜剧,"221,275",中国,2019-02-05
飞驰人生,喜剧,"172,733",中国,2019-02-05
烈火英雄,灾难,"170,339",中国,2019-08-01
少年的你,剧情,"155,623",中国,2019-10-25
速度与激情：特别行动,动作,"143,430",美国,2019-08-23
蜘蛛侠：英雄远征,动作,"141,751",美国,2019-06-28
扫毒2：天地对决,剧情,"131,143",中国香港/中国,2019-07-05
大黄蜂,动作,"114,956",美国,2019-01-04
攀登者,剧情,"109,501",中国,2019-09-30
惊奇队长,动作,"103,518",美国,2019-03-08
比悲伤更悲伤的故事,爱情,"95,792",中国台湾,2019-03-14
哥斯拉2：怪兽之王,科幻,"93,737",美国,2019-05-31
阿丽塔：战斗天使,动作,"89,698",美国/加拿大/阿根廷,2019-02-22
银河补习班,剧情,"87,772",中国,2019-07-18
误杀,剧情,"83,173",中国,2019-12-13
狮子王,剧情,"83,164",美国,2019-07-12
冰雪奇缘2,动画,"82,296",美国,2019-11-22
反贪风暴4,动作,"79,860",中国/中国香港,2019-04-04
叶问4：完结篇,动作,"76,325",中国/中国香港,2019-12-20
熊出没·原始时代,动画,"71,781",中国,2019-02-05
