水利水电工程,5,474,6,4,5500,-
工程管理,2,441,2,4,5000,-
土木工程（岩土工程及地下建筑）,2,435,2,4,5500,-
土木工程,6,444,6,4,5500,-
道路桥梁与渡河工程,6,440,6,4,5000,-
能源与动力工程（热动）,4,471,4,4,5500,-
电气工程及其自动化,2,486,3,4,5500,-
机械类,7,452,7,4,5500,包含专业：机械设计制造及其自动化、车辆工程、智能制造工程
消防工程,2,449,2,4,5000,-
经济学,2,441,2,4,4400,-
建筑类,2,441,2,5,5000,包含专业：建筑学、城乡规划、风景园林
软件工程,2,469,2,4,5000,-
电子信息科学与技术,3,466,3,4,5000,-
土木工程（中外合作办学）,5,398,3,4,15000,-
测绘工程（中外合作办学）,5,398,4,4,18000,-
能源与动力工程（中外合作办学）（热动）,5,405,5,4,18000,-
给排水科学与工程（中外合作办学）,5,429,5,4,18000,-
建筑学（中外合作办学）,5,405,6,5,18000,-
