应用化学,2,437,2,4,4900,-
地理信息科学,3,418,3,4,4900,-
工程力学,3,424,3,4,4900,-
机械类,3,443,3,4,4900,包含专业：机械设计制造及其自动化、材料成型及控制工程、车辆工程、机器人工程
材料类,5,416,5,4,4900,包含专业：冶金工程、金属材料工程、复合材料与工程
能源与动力工程,2,442,2,4,5300,-
电气工程及其自动化,2,462,2,4,5300,-
电子信息工程,2,461,3,4,4900,-
通信工程,2,447,2,4,4900,-
光电信息科学与工程,2,409,3,4,4900,-
自动化,4,445,4,4,4900,-
计算机类,4,449,4,4,4900,包含专业：计算机科学与技术、软件工程、物联网工程
建筑环境与能源应用工程,2,420,2,4,4900,-
给排水科学与工程,2,406,2,4,5300,-
城市地下空间工程,2,389,2,4,4900,-
道路桥梁与渡河工程,2,435,2,4,5300,-
测绘工程,2,418,2,4,4900,-
地质工程,2,389,1,4,4900,-
勘查技术与工程,3,401,3,4,4900,-
资源勘查工程,4,389,4,4,4900,-
采矿工程,4,394,4,4,4900,只招男生
交通工程,2,407,2,4,4900,-
农业水利工程,2,425,2,4,4900,-
环境工程,2,412,2,4,4900,-
食品科学与工程,4,398,4,4,4900,-
安全工程,2,425,2,4,4900,-
植物生产类,6,396,6,4,4900,包含专业：农学、园艺、植物保护、设施农业科学与工程
动物科学,2,389,1,4,4900,-
动物医学,2,419,2,4,4900,-
医学检验技术,4,422,4,4,5200,-
医学影像技术,2,448,2,4,5200,-
护理学,4,432,4,4,5700,-
信息管理与信息系统,2,438,2,4,4600,-
工程管理,2,427,2,4,4600,-
测控技术与仪器,2,408,2,4,4900,-
过程装备与控制工程,2,418,2,4,4900,-
