法学,1,490,1,4,4840,-
新闻传播学类,1,466,2,4,4400,包含专业：广播电视学、新闻学、广告学
数学与应用数学,1,466,1,4,5000,-
应用物理学,1,473,2,4,5000,-
化学,1,477,1,4,5000,-
生物技术,2,408,2,4,5000,-
应用统计学,2,449,4,4,5000,-
机械类,2,461,2,4,5000,包含专业：过程装备与控制工程、材料成型及控制工程、车辆工程
测控技术与仪器,1,467,1,4,5000,-
材料科学与工程,1,408,0,4,5500,-
无机非金属材料工程,1,426,1,4,5000,-
通信工程,1,479,1,4,5000,-
自动化,1,491,1,4,5500,-
计算机科学与技术,1,496,1,4,5500,-
软件工程,1,470,1,4,5000,-
建筑环境与能源应用工程,1,408,0,4,5000,-
道路桥梁与渡河工程,1,442,1,4,5000,-
化学工程与工艺,1,463,1,4,5000,-
建筑学,1,477,1,5,5000,-
生物工程,2,451,2,4,5000,-
动物科学,2,408,0,4,5000,-
工程管理,1,467,1,4,5000,-
物流管理,1,443,1,4,4400,-
交通工程,1,429,1,4,5000,-
生物技术（中外合作办学）,9,380,10,4,15000,-
物联网工程（中外合作办学）,5,444,5,4,14000,-
食品科学与工程（中外合作办学）,8,391,9,4,15000,-
市场营销（中外合作办学）,3,379,2,4,15000,-
会计学（中外合作办学）,2,457,2,4,15000,-
人力资源管理（中外合作办学）,2,381,2,4,15000,-
