电子信息类,2,466,2,4,5500,包含专业：电子信息工程、通信工程、微电子科学与工程、光电信息科学与工程
应用物理学,2,443,2,4,5000,-
机械类,2,463,2,4,5500,包含专业：机械设计制造及其自动化、车辆工程
能源与动力工程,2,449,3,4,5000,-
土木类,2,445,3,4,5000,包含专业：土木工程、建筑环境与能源应用工程、城市地下空间工程
地质类,2,420,2,4,5000,包含专业：地质工程、资源勘查工程
环境工程,2,430,2,4,5000,-
生物技术,2,416,2,4,5000,-
测绘类,2,425,2,4,5000,包含专业：测绘工程、遥感科学与技术
地理信息科学,2,408,1,4,5000,-
人文地理与城乡规划,2,408,1,4,5000,-
采矿工程（智能采矿方向）,3,408,2,4,5000,-
采矿工程（卓越计划班）,2,430,2,4,5000,-
安全工程,2,450,2,4,5000,-
消防工程,2,442,3,4,5000,-
材料类,2,420,2,4,5000,包含专业：材料科学与工程、材料化学、新能源材料与器件
管理科学,2,409,2,4,5000,-
