土木工程,3,406,3,4,5900,-
工程管理,2,386,2,4,4800,-
机械设计制造及其自动化,2,427,2,4,5900,-
机械电子工程,2,407,2,4,4800,-
材料成型及控制工程,2,379,1,4,4800,-
金属材料工程,2,379,1,4,4800,-
软件工程,2,428,2,4,5900,-
网络工程,3,414,3,4,4800,-
物联网工程,2,408,3,4,4800,-
信息与计算科学,2,408,4,4,3800,-
电气工程及其自动化,2,446,2,4,5900,-
通信工程,3,409,4,4,4800,-
自动化,3,441,3,4,4800,-
安全工程,3,424,3,4,5900,-
工业工程,2,379,0,4,4800,-
环境工程,3,389,3,4,4800,-
物流工程,3,386,3,4,4800,-
高分子材料与工程,2,388,2,4,4800,-
化学工程与工艺,3,390,3,4,4800,-
应用化学,2,402,2,4,4800,-
