机械工程,1,449,1,4,3850,-
机械电子工程,1,429,1,4,3850,-
车辆工程,1,446,1,4,3850,-
工业设计,1,440,1,4,3850,-
工业工程,2,407,2,4,4180,-
材料成型及控制工程,3,432,3,4,3850,-
金属材料工程,1,428,1,4,3850,-
材料物理,1,407,0,4,3850,-
电气工程及其自动化,1,477,1,4,4180,-
自动化,2,452,3,4,4840,-
测控技术与仪器,1,438,1,4,3850,-
计算机科学与技术,1,476,1,4,4840,-
软件工程,1,468,1,4,4840,-
电子信息工程,1,474,1,4,4840,-
信息安全,1,463,1,4,4840,-
工商管理,1,437,1,4,4180,-
电子商务,1,438,1,4,4180,-
会计学,2,457,3,4,4180,-
信息管理与信息系统,1,428,1,4,4180,-
金融学,1,446,1,4,4620,-
国际经济与贸易,1,431,1,4,4620,-
高分子材料与工程,4,438,4,4,3850,-
化学工程与工艺,2,407,1,4,3850,-
环境工程,3,423,3,4,3850,-
制药工程,1,446,1,4,4400,-
材料化学,2,436,2,4,3850,-
化学,3,428,3,4,3850,-
生物工程,1,442,1,4,3850,-
食品科学与工程,1,407,0,4,3850,-
公共事业管理,1,408,1,4,3850,-
行政管理,1,426,1,4,4180,-
信息与计算科学,1,458,1,4,4840,-
统计学,2,451,2,4,3850,-
数据科学与大数据技术,2,471,3,4,4840,-
俄语,1,419,1,4,5060,-
日语,1,460,1,4,5060,-
电气工程及其自动化（中外合作办学）,5,451,5,4,24000,-
计算机科学与技术（中外合作办学）,2,445,2,4,22000,-
工业工程（中外合作办学）,6,386,6,4,25000,-
机械工程（中外合作办学）,5,413,5,4,25000,-
