电气工程及其自动化,10,457,11,4,4000,-
自动化,5,443,6,4,4400,-
测控技术与仪器,5,434,5,4,5000,-
电气工程与智能控制,5,442,6,4,5000,-
机械设计制造及其自动化,5,448,5,4,3850,-
机械电子工程,5,389,5,4,4500,-
电子信息科学与技术,5,444,6,4,4000,-
焊接技术与工程,5,405,5,4,5000,-
土木工程,4,389,4,4,4400,-
工程管理,5,388,6,4,4500,-
建筑学,2,432,2,5,5000,-
城乡规划,2,385,2,5,4000,-
计算机科学与技术,5,455,5,4,4000,-
软件工程,5,449,5,4,5500,-
物联网工程,5,439,5,4,5000,-
数据科学与大数据技术,5,429,6,4,待定,-
数学与应用数学,2,448,2,4,3000,-
工程力学,5,393,6,4,4000,-
应用统计学,5,439,6,4,4500,-
采矿工程,5,385,2,4,3000,只招男生
矿物加工工程,5,385,3,4,3000,-
资源勘查工程,5,385,2,4,3000,-
测绘工程,5,398,5,4,4500,-
环境工程,2,419,2,4,3500,-
化学工程与工艺,5,389,5,4,4000,-
安全工程,3,406,3,4,4500,-
国际经济与贸易,2,427,2,4,3500,-
金融学,5,439,5,4,4800,-
会计学,2,456,2,4,3500,-
信息管理与信息系统,5,406,5,4,3500,-
