品名,最低价,平均价,最高价,规格,单位,发布日期
大白菜,0.40,0.45,0.50,储存\新,斤,2021-05-23
娃娃菜,0.40,0.50,0.60,大\小,斤,2021-05-23
小白菜,0.40,0.55,0.70,普通,斤,2021-05-23
芹菜,0.80,1.00,1.20,\冀,斤,2021-05-23
西芹,2.00,2.25,2.50,普通,斤,2021-05-23
菠菜,0.80,0.90,1.00,鲁\冀,斤,2021-05-23
莴笋,0.70,1.00,1.30,闽浙/鲁,斤,2021-05-23
团生菜,0.80,1.00,1.20,毛|净,斤,2021-05-23
圆白菜,0.35,0.48,0.60,\冀,斤,2021-05-23
紫甘蓝,1.00,1.10,1.20,闽云,斤,2021-05-23
散叶生菜,1.50,1.75,2.00,\京,斤,2021-05-23
油菜,1.00,1.25,1.50,鲁\京,斤,2021-05-23
香菜,1.00,1.10,1.20,鲁\冀,斤,2021-05-23
茴香,1.00,1.25,1.50,\冀,斤,2021-05-23
韭菜,0.80,1.00,1.20,普通,斤,2021-05-23
韭菜苔,3.00,3.60,4.20,普通,斤,2021-05-23
苦菊,1.00,1.25,1.50,辽,斤,2021-05-23
油麦菜,1.20,1.35,1.50,\京,斤,2021-05-23
散菜花,1.20,1.50,1.80,豫\苏,斤,2021-05-23
绿菜花,1.40,1.70,2.00,冀\ 苏陕,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
大白菜,0.40,0.45,0.50,储存\新,斤,2021-05-23
娃娃菜,0.40,0.50,0.60,大\小,斤,2021-05-23
小白菜,0.40,0.55,0.70,普通,斤,2021-05-23
芹菜,0.80,1.00,1.20,\冀,斤,2021-05-23
西芹,2.00,2.25,2.50,普通,斤,2021-05-23
菠菜,0.80,0.90,1.00,鲁\冀,斤,2021-05-23
莴笋,0.70,1.00,1.30,闽浙/鲁,斤,2021-05-23
团生菜,0.80,1.00,1.20,毛|净,斤,2021-05-23
圆白菜,0.35,0.48,0.60,\冀,斤,2021-05-23
紫甘蓝,1.00,1.10,1.20,闽云,斤,2021-05-23
散叶生菜,1.50,1.75,2.00,\京,斤,2021-05-23
油菜,1.00,1.25,1.50,鲁\京,斤,2021-05-23
香菜,1.00,1.10,1.20,鲁\冀,斤,2021-05-23
茴香,1.00,1.25,1.50,\冀,斤,2021-05-23
韭菜,0.80,1.00,1.20,普通,斤,2021-05-23
韭菜苔,3.00,3.60,4.20,普通,斤,2021-05-23
苦菊,1.00,1.25,1.50,辽,斤,2021-05-23
油麦菜,1.20,1.35,1.50,\京,斤,2021-05-23
散菜花,1.20,1.50,1.80,豫\苏,斤,2021-05-23
绿菜花,1.40,1.70,2.00,冀\ 苏陕,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
菜花,1.50,1.65,1.80,/云,斤,2021-05-23
绿豆芽,0.95,0.98,1.00,普通,斤,2021-05-23
黄豆芽,0.85,0.88,0.90,普通,斤,2021-05-23
紫菜苔,3.00,3.25,3.50,普通,斤,2021-05-23
番茄,1.00,1.35,1.70,川鲁蒙,斤,2021-05-23
番茄（精品）,1.70,1.95,2.20,\鲁新,斤,2021-05-23
樱西,4.00,4.50,5.00,小红,斤,2021-05-23
黄瓜,0.80,1.00,1.20,蒙辽袋\鲁,斤,2021-05-23
黄瓜(鲜干花),1.20,1.40,1.60,冀,斤,2021-05-23
小黄瓜,2.00,2.75,3.50,旱\荷兰,斤,2021-05-23
茄子,0.80,1.00,1.20,冀,斤,2021-05-23
长茄,0.90,1.10,1.30,辽,斤,2021-05-23
广茄,1.20,2.10,3.00,滇、冀,斤,2021-05-23
线茄,2.00,2.75,3.50,冀,斤,2021-05-23
吊冬瓜,0.55,0.65,0.75,琼,斤,2021-05-23
地冬瓜,0.45,0.48,0.50,桂,斤,2021-05-23
小毛冬瓜,0.60,0.90,1.20,冀\圆鲁新,斤,2021-05-23
架豆,2.50,2.75,3.00,普通,斤,2021-05-23
豆王,2.50,2.75,3.00,普通,斤,2021-05-23
扁豆,2.30,2.65,3.00,冀\鲁聊城,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
豇豆,3.00,3.25,3.50,桂\京冀,斤,2021-05-23
白不老,2.50,3.00,3.50,滇|鲁,斤,2021-05-23
锅里变架豆,1.70,1.85,2.00,普通,斤,2021-05-23
